CN;Heilongjiang;Songjiang;46.8344;130.432
CH;Bern;Grindelwald;46.624;8.03601
CH;Uri;Schattdorf;46.8655;8.65465
CH;Ticino;Intragna;46.1775;8.70016
CH;Grisons;Bergün;46.6293;9.74762
CH;Neuchâtel;Cortaillod;46.9431;6.8444
CH;Grisons;Churwalden;46.7814;9.54377
CH;Bern;Diemtigen;46.6493;7.56477
CH;Bern;Aeschi b. Spiez;46.6585;7.6965
CH;Grisons;Tiefencastel;46.6601;9.57883
CH;Vaud;Avenches;46.88;7.04071
CH;Vaud;Le Mont-sur-Lausanne;46.5582;6.63145
CH;Fribourg;Flamatt;46.8899;7.32204
CH;Uri;Andermatt;46.6357;8.59388
CH;Ticino;Locarno;46.1709;8.79953
CH;Nidwalden;Stans;46.958;8.36609
CH;Bern;Thun;46.7512;7.62166
CH;Ticino;Lugano;46.0101;8.96004
CH;Fribourg;Autigny;46.7366;7.01998
CH;Obwalden;Kerns;46.9012;8.27514
CH;Grisons;Sils-Segl Maria;46.4289;9.76364
CH;Vaud;Villeneuve;46.3987;6.92654
CH;Grisons;Domat;46.8348;9.45075
CH;Grisons;Vals;46.6165;9.18025
IT;Trentino-Alto Adige;Bolzano;46.4985;11.35
IT;Trentino-Alto Adige;Bolzano;46.4989;11.3506
FR;Pays de la Loire;Les Sables-d'Olonne;46.4969;-1.7847
FR;Nouvelle-Aquitaine;Le Grand-Bourg;46.1602;1.64493
SI;Celje;Celje;46.2383;15.2737
SI;Žalec;Šempeter v Savinj. Dolini;46.258;15.1133
RO;Harghita County;Băile Tuşnad;46.1474;25.8565
RO;Bacău County;Moineşti;46.4752;26.4891
RO;Harghita County;Băile Tuşnad;46.144;25.857
CH;Geneva;Geneva (Jonction);46.2027;6.13279
CH;Geneva;Geneva (Jonction);46.2036;6.1378
CH;Ticino;Lugano;46.0074;8.95426
SI;Slovenj Gradec;Slovenj Gradec;46.5096;15.0798
SI;Slovenj Gradec;Slovenj Gradec;46.5119;15.0729
UA;Odesa;Odesa;46.4702;30.7306
UA;Odessa;Bilhorod-Dnistrovskyi;46.1888;30.361
UA;Odesa;Bilhorod-Dnistrovskyi;46.1948;30.3483
UA;Odesa;Salhany;46.1525;30.3433
UA;Mykolaiv;Radisnyy Sad;46.9009;31.9884
UA;Mykolaiv;Zarichne;46.8967;31.91
FR;Bourgogne-Franche-Comté;Granges-Narboz;46.8819;6.31933
HU;Bekes County;Orosháza;46.5667;20.6667
HU;Bekes County;Vésztő;46.9167;21.2667
HU;Bekes County;Mezőkovácsháza;46.4;20.9167
HU;Bekes County;Kaszaper;46.4667;20.8333
CH;Bern;Köniz;46.931;7.4198
UA;Odesa;Odesa (Prymors'kyi district);46.473;30.7376
RS;Vojvodina;Kanjiža;46.0667;20.05
RS;Vojvodina;Kanjiža;46.065;20.06
RS;Vojvodina;Subotica;46.102;19.6702
RS;Vojvodina;Subotica;46.1007;19.6649
RU;Rostov;Gigant;46.5066;41.3419
SI;Kanal ob Soči Municipality;Kanal;46.0886;13.6397
MD;Cantemir;Cantemir;46.2774;28.2027
MD;Cimişlia;Cimişlia;46.5269;28.7644
MD;Ştefan-Vodă;Ştefan Vodă;46.5129;29.6619
AT;Styria;Leibnitz, Styria;46.7816;15.5384
AT;Carinthia;Goritschach;46.612;13.8093
RU;Rostov;Volochayevskiy;46.5442;42.6519
AT;Styria;Brunn;46.7294;15.3
AT;Styria;Deutschlandsberg;46.8153;15.2222
AT;Carinthia;Sankt Veit an der Glan;46.7681;14.3603
AT;Carinthia;Ritzing;46.848;14.8428
AT;Carinthia;Sittersdorf;46.5444;14.6058
AT;Styria;Heiligenkreuz am Waasen;46.9558;15.5881
AT;Styria;Straden;46.8092;15.8681
AT;Carinthia;Hüttenberg;46.9414;14.55
AT;Styria;Kothvogel;46.8784;15.2473
AT;Carinthia;Mühldorf;46.8603;13.3536
AT;Carinthia;Mörtschach;46.9239;12.9178
AT;Carinthia;Draschen;46.7691;14.0676
AT;Carinthia;Landskron;46.6291;13.8843
AT;Carinthia;Wolfsberg;46.8406;14.8442
AT;Carinthia;Eitweg;46.7667;14.8833
AT;Styria;Schlossberg;46.65;15.4833
RO;Alba County;Oiejdea;46.172;23.6518
RO;Bacău County;Zemeş;46.5833;26.4167
RO;Arad County;Vărădia de Mureş;46.0167;22.15
RO;Alba County;Unirea;46.4039;23.8131
RO;Arad County;Şiria;46.2667;21.6333
RO;Vaslui County;Tanacu;46.6833;27.8167
RO;Arad County;Arad;46.1866;21.3123
HU;Baranya;Komló;46.1928;18.2649
HU;Baranya;Szászvár;46.2767;18.3757
HU;Somogy County;Kaposvár;46.3594;17.7968
HU;Somogy County;Somogyvár;46.5814;17.6629
HU;Baranya;Pécs;46.065;18.2236
HU;Bekes County;Mezőberény;46.8167;21.0333
UA;Kherson;Kherson;46.637;32.6146
UA;Kherson;Chornobaivka;46.6964;32.5471
SI;Slovenska Bistrica;Zgornja Polskava;46.4256;15.6122
SI;Šmarje pri Jelšah;Šmarje pri Jelšah;46.2272;15.5192
SI;Ljubljana;Ljubljana;46.0676;14.5407
SI;Žetale;Žetale;46.2736;15.8266
SI;Preddvor;Preddvor;46.3025;14.4231
SI;Štore;Štore;46.2208;15.3139
SI;Železniki Municipality;Železniki;46.2248;14.1721
SI;Hoče-Slivnica;Rogoza;46.5;15.6833
SI;Kranj;Kranj;46.2389;14.3556
SI;Slovenska Konjice;Tepanje;46.3478;15.4761
SI;Mengeš;Preserje pri Radomljah;46.1691;14.597
SI;Zreče Municipality;Zreče;46.3822;15.3792
SI;Maribor City Municipality;Pekre;46.5472;15.5956
SI;Kamnik;Buč;46.2192;14.7195
AT;Styria;Gosdorf;46.7278;15.7925
AT;Carinthia;Fresen;46.7052;14.0451
AT;Carinthia;Globasnitz;46.5569;14.7028
AT;Carinthia;Finkenstein;46.5616;13.8709
AT;Carinthia;Sankt Leonhard;46.6253;13.8587
AT;Styria;Muttendorf;46.9333;15.3667
CH;Grisons;Arosa;46.7779;9.67621
CH;Geneva;Versoix;46.2838;6.16214
CH;Uri;Attinghausen;46.8625;8.63036
CH;Uri;Flüelen;46.9048;8.62396
CH;Nidwalden;Hergiswil;46.9843;8.30944
CH;Vaud;Lutry;46.5024;6.68647
CH;Bern;Brienz;46.7545;8.03847
CH;Vaud;Gollion;46.5852;6.50974
CH;Vaud;Rolle;46.4582;6.33499
CH;Bern;Müntschemier;46.9955;7.14626
CH;Vaud;Blonay;46.4678;6.89615
CH;Vaud;Montreux;46.433;6.91143
CH;Ticino;Biasca;46.3597;8.96965
CH;Bern;Bolligen;46.9751;7.49697
CH;Bern;Wimmis;46.6759;7.63972
UA;Odesa;Kamyanka;46.8016;30.1127
UA;Mykolaiv;Mishkovo-Pohorilove;46.9945;32.11
UA;Kherson;Stanislav;46.5731;32.15
HU;Fejér;Sárbogárd;46.8791;18.6213
HU;Zala County;Keszthely;46.7655;17.248
HU;Csongrád;Csanádpalota;46.25;20.7333
HU;Csongrád;Makó;46.2167;20.4833
HU;Csongrád;Makó;46.2219;20.4809
HU;Jász-Nagykun-Szolnok;Szelevény;46.8026;20.2028
HU;Fejér;Lepsény;46.9919;18.247
HU;Bekes County;Kunágota;46.4333;21.05
HU;Bekes County;Mezőhegyes;46.3167;20.8167
HU;Csongrád;Apátfalva;46.1667;20.5833
CH;Grisons;Pontresina;46.4955;9.90126
CH;Bern;Signau;46.9194;7.72418
CH;Bern;Heimberg;46.7948;7.60433
CH;Lucerne;Schüpfheim;46.9516;8.01723
CH;Bern;Konolfingen;46.8791;7.62013
CH;Bern;Biglen;46.9263;7.62508
CH;Bern;Lauperswil;46.9656;7.74214
CH;Bern;Langnau;46.9394;7.78738
CH;Neuchâtel;Couvet;46.9253;6.6327
CH;Vaud;Assens;46.613;6.62184
CH;Fribourg;Schmitten;46.8575;7.25031
CH;Grisons;Davos Platz;46.7983;9.82681
CH;Ticino;Lugano;46.01;8.95004
CH;Ticino;Gordola;46.1826;8.86657
CH;Vaud;Lausanne;46.5154;6.64107
CH;Bern;Reutigen;46.6936;7.62102
CH;Vaud;Crissier;46.5492;6.5749
CH;Grisons;Davos;46.8021;9.83327
CH;Geneva;Satigny;46.2146;6.03553
CH;Bern;Linden;46.8469;7.67831
CH;Geneva;Bellevue;46.2574;6.15475
CH;Bern;Walkringen;46.9486;7.6204
UA;Odessa;Odessa;46.4825;30.7233
UA;Odessa;Odessa (Prymorsk Raion);46.4421;30.7491
UA;Odesa;Odesa (Prymorsk Raion);46.4421;30.7491
SI;Ljutomer;Ljutomer;46.5208;16.1975
SI;Sveti Jurij;Sveti Jurij;46.5695;16.0235
SI;Podčetrtek;Podčetrtek;46.1569;15.5986
SI;Odranci;Odranci;46.5867;16.2803
SI;Gorišnica;Gorišnica;46.4147;16.0139
SI;Križevci;Križevci pri Ljutomeru;46.5683;16.1386
SI;Kobarid Municipality;Kobarid;46.2476;13.5791
SI;Idrija;Idrija;46.0028;14.0306
SI;Radeče Municipality;Radeče;46.0681;15.1839
SI;Šoštanj;Šoštanj;46.38;15.0486
SI;Razkrižje;Razkrižje;46.5232;16.2767
SI;Dravograd;Črneče;46.5885;15.0009
SI;Prevalje;Leše;46.5285;14.8939
SI;Maribor City Municipality;Trčova;46.5423;15.7192
AT;Styria;Mitterlimberg;46.7333;15.2333
AT;Styria;Hautzendorf;46.9833;15.4
AT;Styria;Bad Gleichenberg;46.8756;15.9086
SI;Kranj;Kranj;46.2369;14.362
SI;Naklo;Strahinj;46.2833;14.3167
RU;Krasnodar Krai;Belaya Glina;46.0812;40.8735
SI;Trzin;Trzin;46.1215;14.5506
SI;Sevnica Municipality;Sevnica;46.0078;15.3156
SI;Trzin;Trzin;46.1216;14.5505
SI;Kamnik;Kamnik;46.2306;14.6268
SI;Hrastnik;Hrastnik;46.1417;15.0845
SI;Radenci;Radenci;46.642;16.0378
SI;Tolmin;Volče;46.1754;13.7079
SI;Središče ob Dravi;Obrež;46.3997;16.2319
SI;Kozje;Kozje;46.075;15.5603
SI;Muta;Muta;46.6114;15.1661
SI;Prebold;Latkova Vas;46.2539;15.0933
SI;Gornji Grad;Gornji Grad;46.2953;14.8083
SI;Rogatec;Rogatec;46.2294;15.7003
SI;Občina Gorenja vas-Poljane;Gorenja Vas;46.1072;14.1481
SI;Domžale;Ihan;46.1208;14.62
SI;Tabor;Tabor;46.2361;15.0183
SI;Laško Municipality;Laško;46.1546;15.2355
SI;Luče;Luče;46.3561;14.7467
SI;Poljčane;Poljčane;46.3119;15.5792
MD;Transnistria;Tiraspolul Nou;46.8287;29.5217
UA;Zaporizhzhia;Berdyansk;46.7738;36.8035
UA;Zaporizhzhia;Melitopol;46.855;35.3587
UA;Odesa;Rivne;46.0175;29.1398
UA;Odesa;Hannivka;46.4109;29.3418
CH;Valais;Port-Valais (Le Bouveret);46.3867;6.84985
FR;Centre-Val de Loire;Saint-Amand-Montrond;46.7214;2.52502
HR;Varaždin;Črnec Biškupečki;46.2667;16.35
HR;Međimurje;Mala Subotica;46.3762;16.5289
HR;Krapina-Zagorje;Zlatar;46.0942;16.0708
FR;Auvergne-Rhône-Alpes;Divonne-les-Bains;46.3571;6.13494
FR;Nouvelle-Aquitaine;Jaunay-Clan;46.685;0.37179
FR;Auvergne-Rhône-Alpes;Saint-Genis-Pouilly;46.2436;6.02119
FR;Auvergne-Rhône-Alpes;Messery;46.3504;6.29099
FR;Auvergne-Rhône-Alpes;Évian-les-Bains;46.4011;6.58793
UA;Mykolaiv;Kobleve;46.665;31.208
AT;Styria;Mooskirchen;46.9817;15.2789
AT;Carinthia;Villach;46.6103;13.8558
AT;Styria;Oberpremstätten;46.9744;15.4044
AT;Carinthia;Klagenfurt;46.6247;14.3053
AT;Styria;Lassnitz;46.8167;15.25
AT;Tyrol;Lavant;46.7989;12.8381
AT;Carinthia;Gallizien;46.55;14.5167
AT;Carinthia;Großkirchheim;46.9727;12.8959
AT;Styria;Empersdorf;46.9989;15.5996
AT;Styria;Ehrenhausen;46.7242;15.5867
AT;Carinthia;Pörtschach am Wörthersee;46.6364;14.1464
AT;Carinthia;Schiefling am See;46.6044;14.0975
AT;Styria;Halbenrain;46.7219;15.9467
AT;Styria;Hatzendorf;46.9769;16.0011
AT;Carinthia;Obere Fellach;46.629;13.809
AT;Tyrol;Debant;46.8333;12.8167
AT;Styria;Arnfels;46.6764;15.4031
AT;Carinthia;Friesach;46.9553;14.4058
UA;Odesa;Velykyi Dalnyk;46.4749;30.561
UA;Odesa;Starokozache;46.3358;29.9888
UA;Odesa;Sanzhiika;46.2288;30.609
UA;Odesa;Vyzyrka;46.6866;30.9991
UA;Odesa;Stara Tsarychanka;46.2887;29.8671
UA;Odesa;Moldove;46.2155;29.6521
UA;Odesa;Veselyy Kut;46.0544;29.2892
UA;Odesa;Oleksandrivka;46.3287;30.6356
RO;Harghita County;Odorheiu Secuiesc;46.3;25.3
RO;Cluj County;Floreşti;46.7457;23.4937
RO;Alba County;Alba Iulia;46.0733;23.5805
RO;Cluj County;Dezmir;46.7648;23.7245
RO;Bacău County;Răcăciuni;46.3333;26.9833
RO;Cluj County;Turda;46.5667;23.7833
RO;Brașov County;Rupea;46.0333;25.2167
RO;Harghita County;Miercurea-Ciuc;46.35;25.8
RO;Neamț County;Bahna;46.7833;26.7833
RO;Neamț County;Români;46.7833;26.6833
RO;Neamț County;Goșmani;46.8362;26.7152
RO;Neamț County;Hociungi;46.8131;26.776
FR;Nouvelle-Aquitaine;Châtellerault;46.8389;0.529971
IT;Trentino-Alto Adige;Trento;46.0913;11.12
IT;Trentino-Alto Adige;Bondo;46.0003;10.692
IT;Trentino-Alto Adige;Trento;46.0914;11.12
FR;Auvergne-Rhône-Alpes;Saint-Trivier-sur-Moignans;46.0693;4.91661
IT;Veneto;Rocca Pietore;46.4339;11.9768
IT;Friuli Venezia Giulia;Casanova;46.0764;13.1835
IT;Veneto;Livinallongo del Col di Lana;46.4816;11.954
IT;Friuli Venezia Giulia;Rauscedo-Domanins;46.0408;12.8247
IT;Trentino-Alto Adige;Pozza di Fassa;46.4281;11.6871
IT;Trentino-Alto Adige;Trento;46.0749;11.1221
IT;Trentino-Alto Adige;Bolzano;46.483;11.3315
IT;Trentino-Alto Adige;Trento;46.0363;11.115
IT;Trentino-Alto Adige;Bolzano;46.4711;11.3327
IT;Trentino-Alto Adige;Corvara;46.5504;11.8734
IT;Trentino-Alto Adige;Bolzano;46.4976;11.3648
CH;Valais;Brig;46.3108;7.96685
CH;Valais;Brig;46.3093;7.96682
RU;Sakhalin Oblast;Yuzhno-Sakhalinsk;46.9136;142.749
RO;Cluj;Cluj-Napoca;46.7727;23.5864
CH;Bern;Bern (Länggasse-Felsenau);46.9517;7.43196
CH;Valais;Sierre;46.293;7.53892
SI;Kamnik;Kamnik;46.2259;14.6121
SI;Cerklje na Gorenjskem;Zgornji Brnik;46.239;14.4844
SI;Šenčur;Šenčur;46.2456;14.4197
SI;Jesenice;Slovenski Javornik;46.4261;14.0872
SI;Slovenska Konjice;Slovenske Konjice;46.3367;15.4258
SI;Prebold;Prebold;46.2369;15.0925
HU;Tolna County;Bonyhád;46.2992;18.5302
HU;Tolna County;Szekszárd;46.3474;18.7062
HU;Tolna County;Szedres;46.4755;18.6831
HU;Tolna County;Tolna;46.4268;18.7825
HU;Tolna County;Fadd;46.4648;18.8193
HU;Bács-Kiskun;Dusnok;46.3909;18.963
HU;Tolna County;Hőgyész;46.497;18.4184
HU;Tolna County;Szekszárd;46.3501;18.709
HU;Tolna County;Ozora;46.7513;18.4001
HU;Tolna County;Szálka;46.2752;18.6384
UA;Odesa;Korsuntsi;46.5908;30.7649
UA;Odesa;Lisky;46.5614;30.8134
UA;Odesa;Ilichanka;46.612;30.8124
HU;Tolna County;Szakcs;46.539;18.1095
CH;Bern;Unterseen;46.6853;7.84722
CH;Grisons;Lenzerheide;46.7221;9.55905
SI;Cerklje na Gorenjskem;Zgornji Brnik;46.2314;14.4589
SI;Šenčur;Voglje;46.2314;14.4589
SI;Brezovica;Brezovica pri Ljubljani;46.0196;14.4588
SI;Ljubljana;Ljubljana;46.0345;14.4625
IT;Friuli Venezia Giulia;Pagnacco;46.1176;13.1949
IT;Friuli Venezia Giulia;Udine;46.0544;13.2151
RU;Sakhalin Oblast;Yuzhno-Sakhalinsk;46.9414;142.734
US;Oregon;Clatskanie;46.1012;-123.207
US;Oregon;Gearhart;46.0243;-123.911
US;Minnesota;Wadena;46.4425;-95.1361
US;Minnesota;Park Rapids;46.9222;-95.0586
US;Minnesota;Duluth;46.7833;-92.1066
US;Washington;Ocean Park;46.4915;-124.05
US;Washington;Richland;46.2857;-119.284
US;Washington;Granger;46.3421;-120.187
US;Washington;Selah;46.654;-120.53
US;Washington;Tri-Cities;46.2454;-119.196
US;Washington;Union Gap;46.5574;-120.475
US;Minnesota;Duluth (West Duluth);46.7452;-92.1534
US;Minnesota;Duluth (Duluth Heights);46.8011;-92.1536
US;Minnesota;Duluth (East Hillside);46.7918;-92.0909
US;Washington;Richland;46.2304;-119.231
US;Washington;Prosser;46.2035;-119.771
US;Michigan;Marquette;46.5435;-87.3954
IT;Friuli Venezia Giulia;Passons;46.0689;13.1892
IT;Friuli Venezia Giulia;Majano;46.1875;13.0616
CA;New Brunswick;Haute-Aboujagane;46.1483;-64.3989
CA;Nova Scotia;Inverness;46.2334;-61.2985
CA;Nova Scotia;Glace Bay;46.1969;-59.957
CA;New Brunswick;Dieppe;46.0784;-64.6873
CA;New Brunswick;Greater Lakeburn;46.0765;-64.6682
CA;New Brunswick;Moncton;46.0894;-64.7771
CA;New Brunswick;Hartland;46.2999;-67.5167
CA;Nova Scotia;Sydney;46.1392;-60.1941
CA;New Brunswick;Bouctouche;46.4684;-64.7391
CA;New Brunswick;Salisbury;46.0391;-65.0463
US;Washington;Mabton;46.2149;-119.997
US;Michigan;Ishpeming;46.5077;-87.6658
US;Minnesota;Duluth (Lincoln Park);46.7566;-92.1392
US;Michigan;Marquette;46.5447;-87.3921
US;Idaho;Moscow;46.7252;-116.967
US;Washington;Pullman;46.7298;-117.182
IT;Piedmont;Malesco;46.128;8.49801
IT;Piedmont;Cursolo;46.0986;8.56822
IT;Piedmont;Pieve Vergonte;46.013;8.26082
US;Minnesota;Aitkin;46.5321;-93.7069
US;Washington;Richland;46.2394;-119.293
US;Washington;Benton City;46.2632;-119.488
US;Washington;Kennewick;46.2113;-119.137
US;Washington;Tieton;46.7021;-120.755
US;Idaho;Moscow;46.7324;-117
US;Washington;College Place;46.0493;-118.388
US;Washington;Yakima;46.6022;-120.506
US;Washington;Olympia;46.977;-122.858
US;Minnesota;Cloquet;46.7001;-92.4325
CA;Ontario;Greater Sudbury;46.4917;-80.993
CA;Ontario;Capreol;46.7063;-80.9211
CA;Ontario;Cartier;46.7;-81.55
US;Minnesota;McGregor;46.6068;-93.3087
US;Washington;Zillah;46.4021;-120.262
US;Washington;Centralia;46.7193;-122.954
US;Washington;Kelso;46.1468;-122.908
CH;Vaud;Renens;46.5321;6.58832
CH;Valais;Sion;46.2274;7.35559
CH;Vaud;Bex;46.2496;7.0098
CH;Vaud;Prilly;46.537;6.60456
CH;Vaud;Épalinges;46.549;6.66831
CH;Ticino;Canobbio;46.0359;8.96605
CH;Fribourg;Belfaux;46.8217;7.10674
CH;Ticino;Camorino;46.1648;9.00547
CH;Vaud;Payerne;46.8219;6.93817
FR;Auvergne-Rhône-Alpes;Gex;46.3224;6.06014
US;Washington;McKenna;46.9348;-122.557
CH;Geneva;Cointrin;46.2241;6.10673
CH;Geneva;Vernier;46.2211;6.09757
CA;Quebec;Trois-Rivières (Trois-Rivières-Ouest);46.3419;-72.6237
CA;Quebec;Val-David;46.0334;-74.2159
CA;Quebec;Saint-Joseph-de-Beauce;46.3;-70.8667
CH;Geneva;Meyrin;46.2238;6.10716
CH;Valais;Visp;46.2947;7.88212
CH;Ticino;Massagno;46.013;8.94186
CH;Ticino;Origlio;46.0513;8.95
CH;Vaud;Lonay;46.5266;6.52055
CH;Bern;Bern (Kirchenfeld-Schosshalde);46.9584;7.47292
CH;Ticino;Lugano;46.0063;8.95475
CH;Grisons;Scuol;46.7969;10.2977
CH;Bern;Saanen;46.4767;7.28355
CH;Bern;Bolligen;46.9672;7.49773
CH;Bern;Ostermundigen;46.9596;7.47975
CH;Vaud;Montreux;46.4328;6.91099
CH;Ticino;Bioggio;46.0125;8.91057
FR;Centre-Val de Loire;Châteauroux;46.8114;1.68678
FR;Auvergne-Rhône-Alpes;Cessy;46.3203;6.07477
CH;Bern;Bern (Monbijou);46.9444;7.43648
CH;Ticino;Viganello;46.0134;8.96879
UA;Odesa;Molodizhne;46.3121;30.6155
IT;Lombardy;Delebio;46.1365;9.46157
IT;Lombardy;Osteno;46.0067;9.08385
IT;Trentino-Alto Adige;Vermiglio;46.2969;10.6914
IT;Trentino-Alto Adige;Tuenno;46.3284;11.0231
RU;Sakhalin Oblast;Yuzhno-Sakhalinsk;46.9641;142.728
RU;Astrakhan Oblast;Astrakhan;46.3588;48.0599
RU;Primorye;Luchegorsk;46.4425;134.289
RU;Sakhalin Oblast;Yuzhno-Sakhalinsk;46.887;142.724
RU;Primorye;Luchegorsk;46.4448;134.301
RU;Astrakhan Oblast;Astrakhan;46.349;48.0344
RU;Sakhalin Oblast;Korsakov;46.6356;142.783
FR;Bourgogne-Franche-Comté;Tournus;46.5676;4.90574
FR;Bourgogne-Franche-Comté;Sassenay;46.8307;4.92523
FR;Bourgogne-Franche-Comté;La Guiche;46.5454;4.45226
FR;Bourgogne-Franche-Comté;Corpeau;46.9292;4.75226
FR;Centre-Val de Loire;Déols;46.8293;1.70428
FR;Auvergne-Rhône-Alpes;Bourg-en-Bresse;46.2028;5.21925
AT;Carinthia;Spittal an der Drau;46.8;13.5
AT;Carinthia;Ferndorf;46.7365;13.6266
AT;Carinthia;Möllbrücke;46.8364;13.3728
AT;Carinthia;Sachsenburg;46.8292;13.355
AT;Styria;Ligist;46.9939;15.2108
AT;Styria;Pichling bei Stainz;46.9053;15.2786
AT;Styria;Raning;46.85;15.8167
AT;Styria;Greisdorf;46.9265;15.2191
AT;Styria;Fernitz;46.9739;15.5011
AT;Burgenland;Weichselbaum;46.9416;16.1871
AT;Styria;Steinberg bei Ligist;46.9833;15.2167
CH;Ticino;Muralto;46.1728;8.80011
FR;Centre-Val de Loire;Descartes;46.9667;0.7
FR;Bourgogne-Franche-Comté;Bletterans;46.7471;5.45233
UA;Odessa;Odessa (Malynovs'kyi district);46.4524;30.7193
UA;Odessa;Odessa (Malynovs'kyi district);46.4647;30.7053
UA;Odessa;Odessa (Malynovs'kyi district);46.4791;30.6919
UA;Odessa;Odessa;46.4846;30.7326
UA;Odessa;Odessa (Prymors'kyi district);46.4721;30.7528
FR;Nouvelle-Aquitaine;Ahun;46.0858;2.04489
HU;Somogy;Kaposvár;46.3551;17.7923
HU;Somogy County;Kaposmérő;46.3617;17.704
HU;Somogy County;Taszár;46.3747;17.9059
SI;Brežice;Bizeljsko;46.0149;15.6929
SI;Železniki Municipality;Selca;46.2244;14.2056
SI;Dol pri Ljubljani;Videm;46.0834;14.6363
AT;Tyrol;Sankt Jakob in Defereggen;46.9197;12.3314
IT;Lombardy;Montagna in Valtellina;46.1681;9.89805
IT;Trentino-Alto Adige;Civezzano;46.0883;11.1801
AT;Carinthia;Klagenfurt;46.6257;14.3137
IT;Trentino-Alto Adige;Bolzano;46.4808;11.327
FR;Centre-Val de Loire;Buzançais;46.8888;1.4195
FR;Nouvelle-Aquitaine;Aiffres;46.297;-0.377361
RS;Vojvodina;Subotica;46.1003;19.6656
IT;Trentino-Alto Adige;Trento;46.073;11.1247
IT;Friuli Venezia Giulia;Maniago;46.1651;12.7066
IT;Friuli Venezia Giulia;Udine;46.0667;13.2458
AT;Styria;Bad Gams;46.8711;15.2247
AT;Styria;Laa;46.95;15.4167
AT;Styria;Groß Sankt Florian;46.8244;15.3186
AT;Styria;Sankt Josef (Weststeiermark);46.9092;15.3364
AT;Styria;Wies;46.7203;15.2719
RO;Harghita County;Miercurea-Ciuc;46.3696;25.7954
IT;Lombardy;Sondrio;46.1666;9.86533
IT;Friuli Venezia Giulia;Tarvisio;46.5012;13.5737
FR;Bourgogne-Franche-Comté;La Machine;46.8923;3.46426
CH;Vaud;Marchissy;46.489;6.24729
IT;Trentino-Alto Adige;Lana;46.6068;11.1715
FR;Centre-Val de Loire;Sainte-Sévère-sur-Indre;46.4867;2.07066
FR;Centre-Val de Loire;Bélâbre;46.5512;1.15791
FR;Auvergne-Rhône-Alpes;Saint-Bonnet-Tronçais;46.6601;2.69324
FR;Auvergne-Rhône-Alpes;Saint-Sigismond;46.0747;6.61305
FR;Auvergne-Rhône-Alpes;Saint-Pourçain-sur-Sioule;46.3075;3.30319
FR;Centre-Val de Loire;Déols;46.8256;1.70097
FR;Bourgogne-Franche-Comté;Mâcon;46.2947;4.8073
FR;Nouvelle-Aquitaine;Allonne;46.5927;-0.396284
FR;Centre-Val de Loire;La Guerche-sur-l'Aubois;46.939;2.93911
FR;Nouvelle-Aquitaine;Poitiers;46.5802;0.340375
FR;Auvergne-Rhône-Alpes;Roanne;46.055;4.08075
FR;Centre-Val de Loire;Loye-sur-Arnon (La défense);46.6559;2.40982
HU;Bekes County;Magyarbánhegyes;46.45;20.9667
CH;Geneva;Confignon;46.1734;6.08437
CH;Valais;Grône;46.2529;7.45947
CH;Vaud;Cossonay;46.6144;6.50631
CH;Geneva;Meinier;46.2471;6.23423
CH;Vaud;Savigny;46.5384;6.73222
CH;Ticino;Cadenazzo;46.1517;8.94719
CH;Grisons;San Vittore;46.2371;9.10684
CH;Ticino;Brissago;46.1201;8.71181
CH;Grisons;Grono;46.2483;9.14829
CH;Vaud;Roche;46.3609;6.93272
CH;Fribourg;Ecuvillens;46.7578;7.08279
CH;Vaud;Gimel;46.5094;6.30736
CH;Vaud;Vallorbe;46.7126;6.37894
CH;Fribourg;Léchelles;46.829;7.01621
CH;Vaud;Oron-la-Ville;46.5709;6.82557
CH;Valais;Martigny-Ville;46.1028;7.07245
CH;Vaud;Cheseaux-sur-Lausanne;46.5862;6.60587
CH;Valais;Lalden;46.2995;7.90235
CH;Fribourg;Vaulruz;46.6216;6.9882
CH;Vaud;La Sarraz;46.6586;6.51077
CH;Fribourg;Sâles;46.6347;6.97336
CH;Vaud;Cudrefin;46.9558;7.01855
CH;Vaud;Ollon;46.2952;6.99314
CH;Vaud;Daillens;46.6212;6.54871
CH;Neuchâtel;Peseux;46.987;6.88903
CH;Vaud;Genolier;46.4354;6.21809
CH;Vaud;Chavornay;46.7024;6.5694
CH;Grisons;Bonaduz;46.811;9.39821
CH;Ticino;Malvaglia;46.4059;8.9819
CH;Fribourg;Bas-Vully;46.9619;7.11251
CH;Vaud;Orbe;46.725;6.53069
CH;Obwalden;Alpnach;46.9423;8.2718
CH;Valais;Sierre;46.2919;7.53559
CH;Neuchâtel;Saint-Aubin-Sauges;46.8942;6.77251
CH;Grisons;Sils im Domleschg;46.7004;9.45404
CH;Valais;Grimisuat;46.2594;7.38408
CH;Geneva;Corsier;46.263;6.22461
CH;Vaud;Les Clées;46.7321;6.46266
CH;Schwyz;Ingenbohl;46.9988;8.61529
CH;Geneva;Meyrin;46.2303;6.0645
IT;Piedmont;Antrona Schieranco;46.0604;8.11461
AT;Carinthia;Viktring;46.5919;14.2692
CH;Valais;Sion;46.2331;7.36063
RU;Kalmykiya Republic;Elista;46.3155;44.2794
RU;Astrakhan Oblast;Astrakhan;46.328;48.0232
FR;Bourgogne-Franche-Comté;Nevers;46.98;3.16524
FR;Auvergne-Rhône-Alpes;Désertines (La Perdrix);46.3437;2.63502
CH;Fribourg;Fribourg;46.8017;7.14557
